Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2021-12-16,78500,78500,77400,77800,76061.04688,11996128,75735.16927,75494.01719
2021-12-17,76800,78000,76800,78000,76256.59375,13108479,76061.05469,75709.10156
2021-12-20,77600,77800,76800,77100,75376.69531,11264375,75898.11198,75767.75938
2021-12-21,77900,78300,77500,78100,76354.35156,14245298,75995.88021,75982.84219
2021-12-22,78900,79400,78800,79400,77625.28906,17105892,76452.11198,76334.79531
2021-12-23,79800,80000,79300,79900,78114.10938,13577498,77364.58333,76745.40781
2021-12-24,80200,80800,80200,80500,78700.70313,12086380,78146.70052,77234.22969
2021-12-27,80600,80600,79800,80200,78407.42188,10783368,78407.41146,77840.375
2021-12-28,80200,80400,79700,80300,78505.17969,18226325,78537.76823,78270.54063
2021-12-29,80200,80200,78500,78800,77386.60156,19794795,78099.73438,78222.80313
2021-12-30,78900,79500,78100,78300,76895.57031,14236700,77595.78385,77979.09531
2022-01-04,78800,79200,78300,78700,77288.39063,12427416,77190.1875,77696.63281
2022-01-05,78800,79000,76400,77400,76011.71875,25470640,76731.89323,77217.49219
2022-01-06,76700,77600,76600,76900,75520.6875,12931954,76273.59896,76620.59375
2022-01-07,78100,78400,77400,78300,76895.57031,15163757,76142.65885,76522.3875
2022-01-10,78100,78100,77100,78000,76600.96094,9947422,76339.07292,76463.46563
2022-01-11,78400,79000,78000,78900,77484.8125,13221123,76993.78125,76502.75
2022-01-12,79500,79600,78600,78900,77484.8125,11000502,77190.19531,76797.36875
2022-01-13,79300,79300,77900,77900,76502.75,13889401,77157.45833,76993.78125
2022-01-14,77700,78100,77100,77300,75913.51563,10096725,76633.69271,76797.37031
2022-01-17,77600,77800,76900,77500,76109.92188,8785122,76175.39583,76699.1625
2022-01-18,77600,77800,76600,77000,75618.89063,9592788,75880.77604,76325.97813
2022-01-19,76500,76900,76100,76300,74931.44531,10598290,75553.41927,75815.30469
2022-01-20,76200,76700,75900,76500,75127.85156,9708168,75226.0625,75540.325
2022-01-21,75800,75800,74700,75600,74244,15774888,74767.76563,75206.42188
2022-01-24,75400,75800,74700,75100,73752.97656,13691134,74374.94271,74735.03281
2022-01-25,74800,75000,73200,74000,72672.70313,17766704,73556.5599,74145.79531
2022-01-26,74000,74000,74000,74000,72672.70313,0,73032.79427,73694.04688
2022-01-27,73800,74000,71300,71300,70021.125,22274777,71788.84375,72672.70156
2022-01-28,71300,73700,71200,73300,71985.25,21367447,71559.69271,72220.95156
2022-02-03,74900,74900,73300,73300,71985.25,17744721,71330.54167,71867.40625
2022-02-04,74300,74600,73400,74000,72672.70313,12730034,72214.40104,71867.40625
2022-02-07,73500,73600,72400,73000,71690.64063,14240838,72116.19792,71670.99375
2022-02-08,73000,73000,73000,73000,71690.64063,0,72017.99479,72004.89688
2022-02-09,73000,73000,73000,73000,71690.64063,0,71690.64063,71945.975
2022-02-10,75600,75800,74700,75400,74047.58594,17746033,72476.28906,72358.44219
2022-02-11,75000,75500,74600,74900,73556.55469,12205407,73098.26042,72535.2125
2022-02-14,74400,74500,73100,73700,72378.07813,13993255,73327.40625,72672.7
2022-02-15,74100,74200,73100,73700,72378.07813,9320365,72770.90365,72810.1875
2022-02-16,74600,74900,74200,74800,73458.34375,10767386,72738.16667,73163.72813
2022-02-17,75000,75600,74500,75000,73654.75781,13605382,73163.72656,73085.1625
2022-02-18,74600,74800,73700,74300,72967.3125,10122226,73360.13802,72967.31406
2022-02-21,74300,74300,74300,74300,72967.3125,0,73196.46094,73085.16094
2022-02-22,74300,74300,74300,74300,72967.3125,0,72967.3125,73203.00781
2022-02-23,74300,74300,74300,74300,72967.3125,0,72967.3125,73104.80156
2022-02-24,72300,72300,71300,71500,70217.53906,15759283,72050.72135,72417.35781
2022-02-25,72100,72600,71900,71900,70610.36719,13168484,71265.07292,71945.96875
2022-02-28,71900,71900,71900,71900,70610.36719,0,70479.42448,71474.57969
2022-03-02,72300,72400,71500,71700,70413.95313,12481430,70544.89583,70963.90781
2022-03-03,72300,73100,72200,72900,71592.4375,13232638,70872.2526,70688.93281
2022-03-04,72900,72900,72900,72900,71592.4375,0,71199.60938,70963.9125
2022-03-07,70000,70600,69900,70100,68842.65625,18617138,70675.84375,70610.37031
2022-03-08,68800,70000,68700,69500,68253.41406,15828269,69562.83594,70138.97969
2022-03-10,69500,69500,69500,69500,68253.41406,0,68449.82813,69706.87188
2022-03-11,70500,70700,69700,70000,68744.45313,15787655,68417.09375,69137.275
2022-03-14,70000,70200,69600,70200,68940.85938,9040993,68646.24219,68606.95938
2022-03-15,70200,70200,70200,70200,68940.85938,0,68875.39063,68626.6
2022-03-16,70200,70500,69700,70400,69137.26563,10175750,69006.32813,68803.37031
2022-03-17,70400,70400,70400,70400,69137.26563,0,69071.79688,68980.14063
2022-03-18,70600,70900,70200,70700,69431.89063,14410038,69235.47396,69117.62813
2022-03-21,70900,71000,69900,69900,68646.23438,11169002,69071.79688,69058.70313
2022-03-22,69900,70500,69900,70300,69039.0625,9402666,69039.0625,69078.34375
2022-03-23,70600,71200,70300,70500,69235.47656,12398025,68973.59115,69097.98594
2022-03-24,69600,70300,69600,69800,68548.02344,37943357,68940.85417,68980.1375
2022-03-25,70100,70200,69600,69800,68548.02344,12986010,68777.17448,68803.36406
2022-03-28,69500,69900,69200,69700,68449.82031,12619289,68515.28906,68764.08125
2022-03-29,70000,70300,69800,70200,68940.85938,13686208,68646.23438,68744.44063
2022-03-30,70300,70500,69800,69900,69001.07813,12670187,68797.2526,68697.56094
2022-03-31,69900,70200,69600,69600,68704.9375,12510366,68882.29167,68728.94375
2022-04-01,69500,69500,69000,69100,68211.35938,15916846,68639.125,68661.61094
2022-04-04,68900,69300,68600,69300,68408.78906,11107905,68441.69531,68653.40469
2022-04-05,69400,69600,69100,69200,68310.07813,8467248,68310.07552,68527.24844
2022-04-06,68600,68800,68500,68500,67619.07031,15517308,68112.64583,68250.84688
2022-04-07,68500,68500,68000,68000,67125.50781,20683327,67684.88542,67934.96094
2022-04-08,68100,68300,67700,67800,66928.07813,15453191,67224.21875,67678.30469
2022-04-11,67800,68100,67400,67900,67026.79688,12263735,67026.79427,67401.90625
2022-04-12,67600,67700,67000,67000,66138.36719,13924389,66697.7474,66967.56406
2022-04-13,67300,69000,67200,68700,67816.50781,17378619,66993.89063,67007.05156
2022-04-14,68700,68700,67500,67500,66631.9375,16409494,66862.27083,66908.3375
2022-04-15,67200,67300,66500,66600,65743.50781,13176415,66730.65104,66671.42344
2022-04-18,66500,67100,66100,66700,65842.22656,10119203,66072.55729,66434.50938
2022-04-19,67100,68000,67000,67300,66434.51563,12959434,66006.75,66493.73906
2022-04-20,67000,67400,66500,67400,66533.21875,16693293,66269.98698,66237.08125
2022-04-21,67600,68300,67500,67700,66829.35938,12847448,66599.03125,66276.56563
2022-04-22,67200,67300,66700,67000,66138.36719,11791478,66500.3151,66355.5375
2022-04-25,66500,66700,66300,66300,65447.36719,11016474,66138.36458,66276.56563
2022-04-26,66400,66700,66100,66100,65249.94141,12946923,65611.89193,66039.65078
2022-04-27,65400,65500,64900,65000,64164.08594,18122084,64953.79818,65565.82422
2022-04-28,65400,65500,64500,64800,63966.66016,16895527,64460.22917,64993.28438
2022-04-29,65100,67600,65000,67400,66533.21875,26190390,64887.98828,65072.25469
2022-05-02,66600,67600,66500,67300,66434.51563,14106184,65644.79818,65269.68438
2022-05-03,67400,68400,67300,67500,66631.9375,14168875,66533.22396,65546.08359
2022-05-04,68000,68400,67500,67900,67026.79688,11505248,66697.75,66118.62578
2022-05-06,67000,67100,66500,66500,65644.79688,14356156,66434.51042,66454.25313
2022-05-10,65900,66300,65300,65700,64855.08203,17235605,65842.22526,66118.62578
2022-05-11,65500,66300,65200,65700,64855.08203,12330920,65118.32031,65802.73906
2022-05-12,65200,65500,64900,64900,64065.375,16414188,64591.84635,65289.42656
2022-05-13,65300,66700,65200,66500,65644.79688,14551536,64855.08464,65013.02656
2022-05-16,67100,67400,66100,66300,65447.36719,11937555,65052.51302,64973.54063
